Sep 9, 2016  12.52 17.54 12.52 17.50 -
Sep 8, 2016  11.74 12.60 11.65 12.51 -
Sep 7, 2016  11.89 12.45 11.77 11.94 -
Sep 6, 2016  12.42 12.93 11.85 12.02 -
Sep 2, 2016  13.47 13.90 11.90 11.98 -
Sep 1, 2016  13.07 14.61 12.99 13.48 -
Aug 31, 2016 13.14 14.34 12.97 13.42 -
Aug 30, 2016 12.94 13.60 12.70 13.12 -
Aug 29, 2016 14.09 14.43 12.90 12.94 -
Aug 26, 2016 13.54 14.93 12.13 13.65 -
Aug 25, 2016 13.62 14.09 13.29 13.63 -
Aug 24, 2016 12.70 14.01 12.30 13.45 -
Aug 23, 2016 12.15 12.44 11.72 12.38 -
Aug 22, 2016 12.53 13.02 11.94 12.27 -
Aug 19, 2016 11.67 12.28 11.33 11.34 -
Aug 18, 2016 12.20 12.53 11.42 11.43 -
Aug 17, 2016 12.57 13.71 12.14 12.19 -
Aug 16, 2016 12.04 12.78 11.87 12.64 -
Aug 15, 2016 11.81 12.17 11.58 11.81 -
Aug 12, 2016 11.61 12.00 11.28 11.55 -
Aug 11, 2016 11.93 12.11 11.38 11.68 -
Aug 10, 2016 11.55 12.50 11.37 12.05 -
Aug 9, 2016  11.40 11.92 11.02 11.66 -
Aug 8, 2016  11.66 11.78 11.41 11.50 -
Aug 5, 2016  12.08 12.26 11.18 11.39 -
Aug 4, 2016  12.73 12.98 11.79 12.42 -
Aug 3, 2016  13.53 13.91 12.73 12.86 -
Aug 2, 2016  12.39 14.24 12.35 13.37 -
Aug 1, 2016  11.89 12.98 11.86 12.44 -
Jul 29, 2016 12.85 12.90 11.77 11.87 -
Jul 28, 2016 12.51 13.52 12.36 12.72 -
Jul 27, 2016 12.61 13.74 12.50 12.83 -
Jul 26, 2016 12.88 13.50 12.80 13.05 -
Jul 25, 2016 12.64 13.72 12.39 12.87 -
Jul 22, 2016 12.80 12.88 11.97 12.02 -
Jul 21, 2016 11.80 13.06 11.69 12.74 -
Jul 20, 2016 11.94 11.97 11.40 11.77 -
Jul 19, 2016 12.53 12.83 11.94 11.97 -
Jul 18, 2016 12.75 13.12 12.33 12.44 -
Jul 15, 2016 13.12 13.22 12.27 12.67 -
Jul 14, 2016 12.50 13.37 12.14 12.82 -
Jul 13, 2016 13.32 13.79 12.92 13.04 -
Jul 12, 2016 12.93 13.93 12.75 13.55 -
Jul 11, 2016 13.25 13.67 13.00 13.54 -
Jul 8, 2016  14.64 14.75 13.19 13.20 -
Jul 7, 2016  14.80 15.98 14.33 14.76 -
Jul 6, 2016  15.87 17.04 14.96 14.96 -
Jul 5, 2016  16.05 16.62 15.49 15.58 -
Jul 1, 2016  15.59 15.86 14.61 14.77 -
Jun 30, 2016 16.91 16.99 15.29 15.63 -
Jun 29, 2016 18.12 18.27 16.48 16.64 -
Jun 28, 2016 21.76 22.07 18.75 18.75 -
Jun 27, 2016 24.38 26.72 22.93 23.85 -
Jun 24, 2016 26.06 26.24 19.48 25.76 -
Jun 23, 2016 19.54 19.79 17.25 17.25 -
Jun 22, 2016 18.26 21.22 17.83 21.17 -
Jun 21, 2016 17.67 18.96 16.91 18.48 -
Jun 20, 2016 17.42 18.55 16.59 18.37 -
Jun 17, 2016 19.42 20.03 18.71 19.41 -
Jun 16, 2016 20.80 22.89 19.24 19.37 -
Jun 15, 2016 20.25 20.45 18.63 20.14 -
Jun 14, 2016 21.28 22.16 20.27 20.50 -
Jun 13, 2016 18.24 21.01 17.89 20.97 -
Jun 10, 2016 14.89 17.33 14.85 17.03 -
Jun 9, 2016  14.01 14.85 13.99 14.64 -
Jun 8, 2016  13.84 14.27 13.70 14.08 -
Jun 7, 2016  12.77 14.05 12.72 14.05 -
Jun 6, 2016  13.84 14.27 13.42 13.65 -
Jun 3, 2016  13.78 14.66 12.90 13.47 -
Jun 2, 2016  14.42 14.92 13.62 13.63 -
Jun 1, 2016  14.45 15.25 14.18 14.20 -
May 31, 2016 13.94 15.00 13.45 14.19 -
May 27, 2016 13.49 13.76 13.04 13.12 -
May 26, 2016 13.80 14.11 13.43 13.43 -
May 25, 2016 14.19 14.33 13.64 13.90 -
May 24, 2016 16.03 16.06 14.36 14.42 -
May 23, 2016 16.33 16.47 15.40 15.82 -
May 20, 2016 16.13 16.30 15.11 15.20 -
May 19, 2016 16.37 17.65 16.28 16.33 -
May 18, 2016 15.72 16.47 14.86 15.95 -
May 17, 2016 14.57 16.12 14.48 15.57 -
May 16, 2016 15.72 15.98 14.28 14.68 -
May 13, 2016 15.15 15.47 13.97 15.04 -
May 12, 2016 14.55 15.42 13.95 14.41 -
May 11, 2016 13.92 14.69 13.29 14.69 -
May 10, 2016 13.98 14.35 13.55 13.63 -
May 9, 2016  15.20 15.39 14.17 14.57 -
May 6, 2016  16.20 16.58 14.71 14.72 -
May 5, 2016  15.54 16.45 15.22 15.91 -
May 4, 2016  15.47 16.85 15.39 16.05 -
May 3, 2016  14.92 16.42 14.91 15.60 -
May 2, 2016  16.33 16.50 14.48 14.68 -
Apr 29, 2016 15.21 17.09 14.91 15.70 -
Apr 28, 2016 14.53 15.61 13.30 15.22 -
Apr 27, 2016 14.15 14.95 13.50 13.77 -
Apr 26, 2016 14.01 14.43 13.66 13.96 -
Apr 25, 2016 14.07 14.76 13.86 14.08 -
Apr 22, 2016 13.70 14.19 13.15 13.22 -
Apr 21, 2016 13.20 14.14 13.16 13.95 -
Apr 20, 2016 13.39 13.50 12.50 13.28 -
Apr 19, 2016 13.18 13.88 12.98 13.24 -
Apr 18, 2016 14.87 14.94 13.23 13.35 -
Apr 15, 2016 13.77 14.19 13.58 13.62 -
Apr 14, 2016 13.90 14.12 13.38 13.72 -
Apr 13, 2016 14.49 14.53 13.60 13.84 -
Apr 12, 2016 15.98 16.57 14.84 14.85 -
Apr 11, 2016 15.34 16.26 14.83 16.26 -
Apr 8, 2016  15.34 15.93 14.84 15.36 -
Apr 7, 2016  15.14 16.77 14.68 16.16 -
Apr 6, 2016  15.61 15.98 14.00 14.09 -
Apr 5, 2016  15.39 15.72 14.93 15.42 -
Apr 4, 2016  13.88 14.24 13.66 14.12 -
Apr 1, 2016  15.23 15.28 13.00 13.10 -
Mar 31, 2016 13.73 14.28 13.49 13.95 -
Mar 30, 2016 13.69 13.89 13.06 13.56 -
Mar 29, 2016 15.74 15.89 13.79 13.82 -
